"~id","~from","~to","~label"
"","140","01-06-2019 00:00",order_placed
"","140","02-06-2019 00:00",order_placed
"","140","03-06-2019 00:00",order_placed
"","140","04-06-2019 00:00",order_placed
"","140","05-06-2019 00:00",order_placed
"","140","06-06-2019 00:00",order_placed
"","140","07-06-2019 00:00",order_placed
"","140","08-06-2019 00:00",order_placed
"","140","09-06-2019 00:00",order_placed
"","140","10-06-2019 00:00",order_placed
"","140","11-06-2019 00:00",order_placed
"","140","12-06-2019 00:00",order_placed
"","140","13-06-2019 00:00",order_placed
"","140","14-06-2019 00:00",order_placed
"","140","15-06-2019 00:00",order_placed
"","140","16-06-2019 00:00",order_placed
"","140","17-06-2019 00:00",order_placed
"","140","18-06-2019 00:00",order_placed
"","140","19-06-2019 00:00",order_placed
"","140","20-06-2019 00:00",order_placed
"","140","21-06-2019 00:00",order_placed
"","140","22-06-2019 00:00",order_placed
"","140","23-06-2019 00:00",order_placed
"","140","24-06-2019 00:00",order_placed
"","140","25-06-2019 00:00",order_placed
"","140","26-06-2019 00:00",order_placed
"","140","27-06-2019 00:00",order_placed
"","140","28-06-2019 00:00",order_placed
"","140","29-06-2019 00:00",order_placed
"","140","30-06-2019 00:00",order_placed
"","140",AD-8,placed_by
"","140",CH-4,channel_used
"","140",Smart TV,from_device
"","140",Desktop,from_device
"","140",Tablet,from_device
"","140",Smartphone,from_device
"","140",GE-1,in_geo
"","140",GE-10,in_geo
"","140",GE-100,in_geo
"","140",GE-107,in_geo
"","140",GE-108,in_geo
"","140",GE-11,in_geo
"","140",GE-112,in_geo
"","140",GE-113,in_geo
"","140",GE-117,in_geo
"","140",GE-119,in_geo
"","140",GE-122,in_geo
"","140",GE-123,in_geo
"","140",GE-124,in_geo
"","140",GE-125,in_geo
"","140",GE-126,in_geo
"","140",GE-129,in_geo
"","140",GE-13,in_geo
"","140",GE-131,in_geo
"","140",GE-132,in_geo
"","140",GE-135,in_geo
"","140",GE-136,in_geo
"","140",GE-137,in_geo
"","140",GE-138,in_geo
"","140",GE-139,in_geo
"","140",GE-14,in_geo
"","140",GE-140,in_geo
"","140",GE-141,in_geo
"","140",GE-143,in_geo
"","140",GE-144,in_geo
"","140",GE-145,in_geo
"","140",GE-147,in_geo
"","140",GE-149,in_geo
"","140",GE-151,in_geo
"","140",GE-152,in_geo
"","140",GE-154,in_geo
"","140",GE-156,in_geo
"","140",GE-157,in_geo
"","140",GE-158,in_geo
"","140",GE-160,in_geo
"","140",GE-163,in_geo
"","140",GE-164,in_geo
"","140",GE-166,in_geo
"","140",GE-169,in_geo
"","140",GE-17,in_geo
"","140",GE-171,in_geo
"","140",GE-172,in_geo
"","140",GE-173,in_geo
"","140",GE-174,in_geo
"","140",GE-175,in_geo
"","140",GE-176,in_geo
"","140",GE-179,in_geo
"","140",GE-180,in_geo
"","140",GE-182,in_geo
"","140",GE-183,in_geo
"","140",GE-184,in_geo
"","140",GE-187,in_geo
"","140",GE-188,in_geo
"","140",GE-189,in_geo
"","140",GE-19,in_geo
"","140",GE-190,in_geo
"","140",GE-191,in_geo
"","140",GE-197,in_geo
"","140",GE-2,in_geo
"","140",GE-22,in_geo
"","140",GE-23,in_geo
"","140",GE-24,in_geo
"","140",GE-25,in_geo
"","140",GE-28,in_geo
"","140",GE-306,in_geo
"","140",GE-33,in_geo
"","140",GE-34,in_geo
"","140",GE-35,in_geo
"","140",GE-36,in_geo
"","140",GE-37,in_geo
"","140",GE-38,in_geo
"","140",GE-39,in_geo
"","140",GE-4,in_geo
"","140",GE-43,in_geo
"","140",GE-46,in_geo
"","140",GE-49,in_geo
"","140",GE-50,in_geo
"","140",GE-51,in_geo
"","140",GE-52,in_geo
"","140",GE-63,in_geo
"","140",GE-66,in_geo
"","140",GE-67,in_geo
"","140",GE-68,in_geo
"","140",GE-69,in_geo
"","140",GE-70,in_geo
"","140",GE-71,in_geo
"","140",GE-72,in_geo
"","140",GE-73,in_geo
"","140",GE-74,in_geo
"","140",GE-75,in_geo
"","140",GE-76,in_geo
"","140",GE-77,in_geo
"","140",GE-79,in_geo
"","140",GE-8,in_geo
"","140",GE-80,in_geo
"","140",GE-81,in_geo
"","140",GE-84,in_geo
"","140",GE-87,in_geo
"","140",GE-88,in_geo
"","140",GE-89,in_geo
"","140",GE-91,in_geo
"","140",GE-92,in_geo
"","140",IT-1,has_integration
"","140",LI-19,has_line_item_type
"","140",Airbnb,from_site
"","140",Google,from_site
"","140",Snapchat,from_site
"","140",Facebook,from_site
"","140",Amazon,from_site
"","140",Netflix,from_site
"","146","01-06-2019 00:00",order_placed
"","146","02-06-2019 00:00",order_placed
"","146","03-06-2019 00:00",order_placed
"","146","04-06-2019 00:00",order_placed
"","146","05-06-2019 00:00",order_placed
"","146","06-06-2019 00:00",order_placed
"","146","07-06-2019 00:00",order_placed
"","146","08-06-2019 00:00",order_placed
"","146","09-06-2019 00:00",order_placed
"","146","10-06-2019 00:00",order_placed
"","146","11-06-2019 00:00",order_placed
"","146","12-06-2019 00:00",order_placed
"","146","13-06-2019 00:00",order_placed
"","146","14-06-2019 00:00",order_placed
"","146","15-06-2019 00:00",order_placed
"","146","16-06-2019 00:00",order_placed
"","146","17-06-2019 00:00",order_placed
"","146","18-06-2019 00:00",order_placed
"","146","19-06-2019 00:00",order_placed
"","146","20-06-2019 00:00",order_placed
"","146","21-06-2019 00:00",order_placed
"","146","22-06-2019 00:00",order_placed
"","146","23-06-2019 00:00",order_placed
"","146","24-06-2019 00:00",order_placed
"","146","25-06-2019 00:00",order_placed
"","146","26-06-2019 00:00",order_placed
"","146","27-06-2019 00:00",order_placed
"","146","28-06-2019 00:00",order_placed
"","146","29-06-2019 00:00",order_placed
"","146","30-06-2019 00:00",order_placed
"","146",AD-96,placed_by
"","146",CH-4,channel_used
"","146",Smart TV,from_device
"","146",Desktop,from_device
"","146",Tablet,from_device
"","146",Smartphone,from_device
"","146",GE-1,in_geo
"","146",GE-10,in_geo
"","146",GE-102,in_geo
"","146",GE-103,in_geo
